,Method,Subject,Accelerometer Axis,Average Degree,Network Diameter,Average path length,Activity
0,NVG,subject1,X,1.9757165349338732,7,3.2608504163997436,Walking
1,NVG,subject1,Y,2.1220659078919377,6,3.256125880845612,Walking
2,NVG,subject1,Z,2.2036838274262434,7,3.6049007046764894,Walking
3,HVG,subject1,X,5.208707228462029,19,8.165518898142217,Walking
4,HVG,subject1,Y,6.366197723675814,20,8.595932094811019,Walking
5,HVG,subject1,Z,4.77464829275686,14,6.702554452274184,Walking
6,NVG,subject1,X,2.04627783975294,10,3.6627562459961562,Walking
7,NVG,subject1,Y,2.04627783975294,10,3.8790438821268416,Walking
8,NVG,subject1,Z,2.1220659078919377,11,3.947429532351057,Walking
9,HVG,subject1,X,6.366197723675814,38,10.814221652786674,Walking
10,HVG,subject1,Y,5.729577951308233,32,10.943986226777707,Walking
11,HVG,subject1,Z,6.366197723675814,28,10.26177130044843,Walking
12,NVG,subject1,X,2.1220659078919377,8,3.744154388212684,Walking
13,NVG,subject1,Y,1.7362357428206765,7,3.0365550928891736,Walking
14,NVG,subject1,Z,1.9757165349338732,8,3.4885089686098656,Walking
15,HVG,subject1,X,5.208707228462029,20,8.929332158872517,Walking
16,HVG,subject1,Y,5.729577951308232,19,8.64037475976938,Walking
17,HVG,subject1,Z,5.208707228462029,25,9.200992953235106,Walking
18,NVG,subject1,X,1.9757165349338732,8,3.6053811659192827,Walking
19,NVG,subject1,Y,1.9757165349338732,9,3.846332479180013,Walking
20,NVG,subject1,Z,2.291831180523293,8,3.683536194746957,Walking
21,HVG,subject1,X,5.729577951308233,16,6.937219730941704,Walking
22,HVG,subject1,Y,5.208707228462029,18,7.91948270339526,Walking
23,HVG,subject1,Z,5.729577951308232,15,7.3997837924407435,Walking
24,NVG,subject1,X,2.2036838274262434,9,3.6433776425368354,Walking
25,NVG,subject1,Y,2.04627783975294,7,3.5809577194106343,Walking
26,NVG,subject1,Z,1.9757165349338732,9,3.688821268417681,Walking
27,HVG,subject1,X,6.366197723675813,19,8.000520499679693,Walking
28,HVG,subject1,Y,5.729577951308233,16,7.373198270339526,Walking
29,HVG,subject1,Z,4.407367654852486,18,7.789157591287636,Walking
30,NVG,subject1,X,2.1220659078919377,12,4.5896460602178095,Walking
31,NVG,subject1,Y,1.9757165349338732,7,3.3292761050608584,Walking
32,NVG,subject1,Z,1.8482509520349135,7,3.2404708520179373,Walking
33,HVG,subject1,X,5.208707228462029,28,9.751601537475977,Walking
34,HVG,subject1,Y,6.366197723675813,18,7.972213324791801,Walking
35,HVG,subject1,Z,4.77464829275686,17,8.011491031390134,Walking
36,NVG,subject1,X,1.9757165349338732,7,3.2787075592568864,Walking
37,NVG,subject1,Y,2.291831180523293,7,3.566183536194747,Walking
38,NVG,subject1,Z,2.291831180523293,8,3.731382126841768,Walking
39,HVG,subject1,X,5.729577951308233,17,7.834280909673287,Walking
40,HVG,subject1,Y,5.208707228462029,15,6.712043561819346,Walking
41,HVG,subject1,Z,4.77464829275686,19,7.190022421524664,Walking
42,NVG,subject1,X,2.4911208483948837,7,3.266575912876361,Running
43,NVG,subject1,Y,2.72837045300392,20,7.586683215887252,Running
44,NVG,subject1,Z,2.291831180523293,9,3.9354980781550286,Running
45,HVG,subject1,X,4.09255567950588,16,5.910113709160794,Running
46,HVG,subject1,Y,5.208707228462029,28,10.492512812299807,Running
47,HVG,subject1,Z,4.407367654852486,13,6.261410954516336,Running
48,NVG,subject1,X,1.6851699856788918,8,3.227978859705317,Running
49,NVG,subject1,Y,2.38732414637843,14,4.800928891736066,Running
50,NVG,subject1,Z,1.8482509520349135,7,3.155229019859065,Running
51,HVG,subject1,X,5.208707228462029,29,11.009248878923767,Running
52,HVG,subject1,Y,5.208707228462029,31,11.250520499679693,Running
53,HVG,subject1,Z,5.729577951308232,19,8.851217168481742,Running
54,NVG,subject1,X,2.4911208483948837,9,4.126881806534273,Running
55,NVG,subject1,Y,2.2036838274262434,6,3.579636450992953,Running
56,NVG,subject1,Z,2.1220659078919377,7,3.72986066623959,Running
57,HVG,subject1,X,4.7746482927568605,23,8.100176169122358,Running
58,HVG,subject1,Y,4.407367654852487,15,6.021941063420884,Running
59,HVG,subject1,Z,4.09255567950588,16,6.482303010890455,Running
60,NVG,subject1,X,2.4911208483948837,8,3.891455797565663,Running
61,NVG,subject1,Y,3.015567342793806,14,5.979300128122998,Running
62,NVG,subject1,Z,1.9757165349338732,8,3.7574071108263936,Running
63,HVG,subject1,X,4.77464829275686,12,6.18537796284433,Running
64,HVG,subject1,Y,5.729577951308233,22,8.254644458680334,Running
65,HVG,subject1,Z,3.819718634205488,18,7.770419602818706,Running
66,NVG,subject1,X,2.38732414637843,9,3.731662395900064,Running
67,NVG,subject1,Y,3.015567342793806,9,4.254244074311339,Running
68,NVG,subject1,Z,2.72837045300392,10,4.145379564381806,Running
69,HVG,subject1,X,6.366197723675814,15,6.858664317745035,Running
70,HVG,subject1,Y,5.729577951308233,17,7.110626201153107,Running
71,HVG,subject1,Z,4.77464829275686,17,6.8524183215887255,Running
72,NVG,subject1,X,2.2036838274262434,9,3.617552850736707,Running
73,NVG,subject1,Y,2.8647889756541165,28,10.019859064702114,Running
74,NVG,subject1,Z,2.38732414637843,7,3.362067584881486,Running
75,HVG,subject1,X,5.208707228462029,17,7.833880525304292,Running
76,HVG,subject1,Y,5.208707228462029,33,12.442144458680334,Running
77,HVG,subject1,Z,4.407367654852487,14,6.165639013452915,Running
78,NVG,subject1,X,3.3703399713577835,18,7.373959000640615,Running
79,NVG,subject1,Y,2.72837045300392,8,3.7700592568866114,Running
80,NVG,subject1,Z,2.2036838274262434,8,3.5984545163356825,Running
81,HVG,subject1,X,5.729577951308232,27,9.630164958360025,Running
82,HVG,subject1,Y,4.77464829275686,16,6.646820948110186,Running
83,HVG,subject1,Z,4.407367654852487,17,7.222293401665599,Running
84,NVG,subject1,X,1.7362357428206765,7,3.352978859705317,Climbing Up
85,NVG,subject1,Y,1.8482509520349135,7,3.8315582959641254,Climbing Up
86,NVG,subject1,Z,2.2036838274262434,8,3.7011531069827033,Climbing Up
87,HVG,subject1,X,5.729577951308233,24,9.926689622037156,Climbing Up
88,HVG,subject1,Y,6.366197723675813,25,10.659232863549008,Climbing Up
89,HVG,subject1,Z,5.729577951308232,26,9.70215406790519,Climbing Up
90,NVG,subject1,X,2.04627783975294,10,3.7978859705317105,Climbing Up
91,NVG,subject1,Y,1.637022271802352,7,3.1149503523382447,Climbing Up
